,0,1
292,"  Parkview, Ikoyi, Lagos","1,800,000"
293,"  Walter Carrington Street, Victoria Island (VI), Lagos","1,700,000"
294,"  Lekki Phase 1, Lekki, Lagos","3,400,000"
295,"  Majek, Sangotedo, Ajah, Lagos","1,200,000"
296,"  Lekki Phase 1, Lekki, Lagos","10,000,000"
297,"  Osapa, Lekki, Lagos","780,000"
298,"  Facing Lekki - Epe Express Way, Abijo, Ajah, Lagos","2,000,000"
299,"  2nd Toll Gate, Lekki, Lagos","400,000"
300,"  Off Ibrahim Eletu Road, Osapa, Lekki, Lagos","2,000,000"
301,"  In A Very Secured Estate In Second Toll Gate, Lekki Expressway, Lekki, Lagos","800,000"
302,"  Peter Odili Road, Port Harcourt, Rivers","3,500,000"
303,"  Banana Island, Ikoyi, Lagos","3,500,000"
304,"  Mabuchi District, Mabuchi, Abuja","3,000,000"
305,"  District, Wuye, Abuja","3,500,000"
306,"  District By Pace Setter Schools, Wuye, Abuja","250,000"
307,"  Ikota Villa Estate, Lekki, Lagos","3,000,000"
308,"  Beside House On The Rock, Ikate Elegushi, Lekki, Lagos",₦
309,"  Bera Estate By Chroven, Osapa, Lekki, Lagos",₦
310,"  Spg, Ologolo, Lekki, Lagos",₦
311,"  Asokoro District, Abuja",₦
312,"  Ademola Eletu Estate Off Shoprite Road Osapa Lekki Lagos, Osapa, Lekki, Lagos",₦
313,"  Rock Stone/seaside Estate Badore Ajah, Badore, Ajah, Lagos",₦
314,"  Lekki Phase 1, Lekki, Lagos",₦
315,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
316,"  Fo1, Kubwa, Abuja",₦
317,"  Ogudu, Lagos",₦
318,"  Yaba, Lagos",₦
319,"  Jakande, Lekki, Lagos",₦
320,"  Palace Road, Oniru, Victoria Island (VI), Lagos",₦
321,"  Off 1st Avenue, Old Ikoyi, Ikoyi, Lagos",₦
322,"  Agungi, Lekki, Lagos",₦
323,"  Osapa, Lekki, Lagos",₦
324,"  Pretty Close To Pavilion Hotel, Ologolo, Lekki, Lagos",₦
325,"  Valley View Estate, Ebute, Ikorodu, Lagos",₦
326,"  Asokoro District, Abuja",₦
327,"  Life Camp, Gwarinpa, Abuja",₦
328,"  Peace Estate, Oregun, Ikeja, Lagos","3,000,000"
329,"  Lekki Addo, Badore, Ajah, Lagos","10,000,000"
330,"  Banana Island, Ikoyi, Lagos","300,000"
331,"  Banana Island, Ikoyi, Lagos","5,000,000"
332,"  Ikota Villa Estate, Ikota, Lekki, Lagos","1,300,000"
333,"  Banana Island, Ikoyi, Lagos","2,000,000"
334,"  Banana Island, Ikoyi, Lagos","12,000,000"
335,"  12b Charles Mba Street, Off Amadasun Street, Ologolo, Lekki, Lagos","1,000,000"
336,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","10,000,000"
337,"  Banana Island, Ikoyi, Lagos","2,500,000"
338,"  Yaba, Lagos","2,500,000"
339,"  By Fourpoint Hotel, Victoria Island Extension, Victoria Island (VI), Lagos","2,000,000"
340,"  Oral Estate, 2nd Tollgate By Chevron, Lekki Expressway, Lekki, Lagos","1,500,000"
341,"  Oke Alo Estate By Millennium Estate, Gbagada Phase 1, Gbagada, Lagos","1,200,000"
342,"  Banana Island Estate Very Close To Ocean Parade, Banana Island, Ikoyi, Lagos","7,000,000"
343,"  Kolapo Ishola Gra, Akobo, Ibadan, Oyo","4,500,000"
344,"  Banana Island, Ikoyi, Lagos","500,000"
345,"  Ikate Elegushi, Lekki, Lagos","400,000"
346,"  Lekki Phase 1, Lekki, Lagos","350,000"
347,"  Lekki Phase 1, Lekki, Lagos","500,000"
348,"  Dolphin Estate, Ikoyi, Lagos","1,000,000"
349,"  Atunrashe, Gbagada, Lagos",₦
350,"  Off Kingsway Rd, Old Ikoyi, Ikoyi, Lagos",₦
351,"  Off Palace Road, Oniru, Victoria Island (VI), Lagos",₦
352,"  Off Akobi Crescent, Idi Araba, Surulere, Lagos",₦
353,"  Onishon, Few Minutes Drive After Lakowe Golf Court Road, Lakowe, Ibeju Lekki, Lagos",₦
354,"  Ilupeju, Lagos",₦
355,"  Anu Crescent Estate Addo, Badore, Ajah, Lagos",₦
356,"  Ogunfayo Estate Road, Very Close To Bus Stop, Eputu, Ibeju Lekki, Lagos",₦
357,"  Lekki Phase 1, Lekki, Lagos",₦
358,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
359,"  Obawule, Ogba, Ikeja, Lagos",₦
360,"  Lekki Phase 1, Lekki, Lagos",₦
361,"  Marwa, Lekki Phase 1, Lekki, Lagos",₦
362,"  Close To St Finbars Road, Akoka, Yaba, Lagos",₦
363,"  Off Apapa Road, Ebute Metta West, Yaba, Lagos",₦
364,"  Tayo Akinyemi Street, Off Igbe Road, Igbogbo, Ikorodu, Lagos",₦
365,"  Bako Estate, Irawo Bus Stop, Ketu, Lagos",₦
366,"  Olaleye Estate, Close To Leadway Assurance, Iponri, Surulere, Lagos",₦
367,"  Off Pedro Road, Palmgrove, Shomolu, Lagos",₦
368,"  Off The Express Way, Gbagada Phase 2, Gbagada, Lagos",₦
369,"  Off Lawanson Road, Lawanson, Surulere, Lagos","3,000,000"
370,"  Millennium Estate, Gbagada, Lagos","1,500,000"
371,"  Off Pedro Road, Palmgrove, Shomolu, Lagos","4,500,000"
372,"  Awoyaya Bus Stop, Sangotedo, Ajah, Lagos","3,200,000"
373,"  Wuse 2, Abuja","900,000"
374,"  Horizon Ii Estate Off Meadow Hall School, Lekki Phase 1, Lekki, Lagos","500,000"
375,"  Off Aminu Kano, Wuse 2, Abuja","550,000"
376,"  By Prime Water, Lekki Phase 1, Lekki, Lagos","5,000,000"
377,"  Durumi, Abuja","650,000"
378,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","600,000"
379,"  Sun City, Lokogoma District, Abuja","900,000"
380,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","350,000"
381,"  Off Road 1, Westend Estate, Ikota, Lekki, Lagos","2,500,000"
382,"  7th Avenue, Gwarinpa, Abuja","700,000"
383,"  Off Morris Street, Abule Oja, Yaba, Lagos","2,500,000"
384,"  Diamond View Estate, Rumuduru, Port Harcourt, Rivers","350,000,000"
385,"  Off Okojo Iweala, Utako, Abuja","900,000"
386,"  After Osapa, Agungi, Lekki Expressway, Lekki, Lagos","400,000"
387,"  Idado, Lekki Expressway, Lekki, Lagos","1,500,000"
388,"  Lekki Phase 1, Lekki, Lagos","7,000,000"
389,"  After Agungi, Idado, Lekki Expressway, Lekki, Lagos","4,000,000"
390,"  Lekki Phase 1, Lekki, Lagos",₦
391,"  Before Chevron, Idado, Lekki Expressway, Lekki, Lagos",₦
392,"  Oniru, Victoria Island (VI), Lagos",₦
393,"  Parkview, Ikoyi, Lagos",₦
394,"  Ado, Ajah, Lagos",₦
395,"  Idado, Lekki, Lagos",₦
396,"  An Estate Behind Headway Assurance, Iponri, Surulere, Lagos",₦
397,"  Oniru Estate, Oniru, Victoria Island (VI), Lagos",₦
398,"  Freedom Way, Lekki Phase 1, Lekki, Lagos",₦
399,"  Lekki Phase 1, Lekki, Lagos",₦
400,"  Peace Estate Ipaye Twins Fajia Supermarket, Iba, Ojo, Lagos",₦
401,"  West End Etate, Ikota Villa, Lekki, Lagos",₦
402,"  Dstrict, Maitama District, Abuja",₦
403,"  Bayeku, Igbogbo, Ikorodu, Lagos",₦
404,"  Wuse 2, Abuja",₦
405,"  Shell Cooperative, Eliozu, Port Harcourt, Rivers",₦
406,"  Rukpokwu, Port Harcourt, Rivers",₦
407,"  By Hot Bread, Sangotedo, Ajah, Lagos",₦
408,"  Therra Annex, Olokonla, Ajah, Lagos",₦
409,"  Lekki Paradise Estate By Chevron Drive, Opposite Ebeano Store, Lekki Expressway, Lekki, Lagos",₦
410,"  Off Road 16, Ikota Villa Estate, Ikota, Lekki, Lagos","3,000,000"
411,"  Thomas Estate, Ado, Ajah, Lagos","5,500,000"
412,"  Before Chevron, Idado, Lekki Expressway, Lekki, Lagos","1,600,000"
413,"  Old Ikoyi, Ikoyi, Lagos","160,000"
414,"  Chevyview Estate, Lekki, Lagos","2,500,000"
415,"  Obanikoro Estate., Ilupeju, Lagos","1,200,000"
416,"  Okotie- Eboh Street, South West, Falomo, Ikoyi, Lagos","850,000"
417,"  Ado, Ajah, Lagos","2,500,000"
418,"  Road 2 , Westend Estate, Ikota, Lekki, Lagos","15,000,000"
419,"  Jasmine Street, Gra Estate, Ikota, Lekki, Lagos","6,000,000"
420,"  Lekki Phase 1, Lekki, Lagos","1,000,000"
421,"  Behind Onikoyi Palace, Parkview, Ikoyi, Lagos","600,000"
